station_name,station_number,line_number,line_number.alt,perehod,perehod.alt,depth,opening_date,potok,latitude,longitude
Текстильщики,17,7,Таганско-Краснопресненская,,,-13,31.12.1966,47900,"55,70888889","37,73166667"
Кузьминки,18,7,Таганско-Краснопресненская,,,-8,31.12.1966,53200,"55,70555556","37,76555556"
Рязанский проспект,19,7,Таганско-Краснопресненская,,,-6,31.12.1966,86600,"55,71694444","37,79333333"
Выхино,20,7,Таганско-Краснопресненская,,,0,31.12.1966,151500,"55,71555556","37,81805556"
Коломенская,15,2,Замоскворецкая,,,-9,11.08.1969,94200,"55,67861111","37,66388889"
Каширская,16,2,Замоскворецкая,11,Кросс-платформенная пересадка на станцию Каширская Каховской линии,-7,11.08.1969,48900,"55,655","37,64861111"
Каширская,1,11,Каховская,2,Кросс-платформенная пересадка на станцию Каширская Замоскворецкой линии,-7,11.08.1969,18600,"55,655","37,64861111"
Варшавская,2,11,Каховская,,,-9,11.08.1969,33100,"55,65333333","37,61944444"
Каховская,3,11,Каховская,9,Переход на станцию Севастопольская Серпуховско-Тимирязевской линии,-8,11.08.1969,4900,"55,65305556","37,59833333"
Китай-город,11,6,Калужско-Рижская,7,Кросс-платформенная пересадка на станцию Китай-город Таганско-Краснопресненской линии,-29,03.01.1971,41000,"55,75527778","37,63333333"
Третьяковская,12,6,Калужско-Рижская,2,Переход на станцию Новокузнецкая Замоскворецкой линии,-46,03.01.1971,26700,"55,74111111","37,6275"
Китай-город,13,7,Таганско-Краснопресненская,6,Кросс-платформенная пересадка на станцию Китай-город Калужско-Рижской линии,-29,03.01.1971,38200,"55,75527778","37,63333333"
Сухаревская,9,6,Калужско-Рижская,,,-43,05.01.1972,15900,"55,77333333","37,63194444"
Тургеневская,10,6,Калужско-Рижская,1,Переход на станцию Чистые пруды Сокольнической линии,-49,05.01.1972,27800,"55,76611111","37,6375"
Октябрьское поле,6,7,Таганско-Краснопресненская,14,Переход на станцию Панфиловская Московского центрального кольца,-9,30.12.1972,57400,"55,79361111","37,49361111"
Полежаевская,7,7,Таганско-Краснопресненская,14,Переход на станцию Хорошёво Московского центрального кольца,-10,30.12.1972,67000,"55,7775","37,51916667"
