name,first_week,year,inflation,first_week_box
Дама Пик,18.11.2016,2016,"1,04",15033781
Погребенный заживо,14.10.2010,2010,"1,673423",9296475
Скауты против зомби,30.10.2015,2015,"1,09096",14187365
"Нью-Йорк, я люблю тебя",05.11.2009,2009,"1,80897",8523834
Сезон охоты: Байки из леса,03.06.2016,2016,"1,04",14792326
Монстры на острове 3D,28.02.2013,2013,"1,328473",11580088
"Анжелика, маркиза ангелов",09.01.2014,2014,"1,202238",12787819
Дорога на Берлин,07.05.2015,2015,"1,09096",14089092
Не говори никому,18.01.2007,2007,"2,339802",6568830
Последний дом слева,21.05.2009,2009,"1,80897",8489563
Полуночный человек,15.12.2017,2017,1,15342985
Отважная,11.10.2007,2007,"2,339802",6536854
Джек и Джилл: Любовь на чемоданах,26.11.2009,2009,"1,80897",8448598
Фобос. Клуб страха,25.03.2010,2010,"1,673423",9128149
Спасти мистера Бэнкса,23.01.2014,2014,"1,202238",12639856
Равные,15.07.2016,2016,"1,04",14588526
Опасный метод,26.01.2012,2012,"1,434751",10563615
Субурбикон,17.11.2017,2017,1,15083000
Саранча,06.11.2015,2015,"1,09096",13821190
Лунный флаг,25.03.2016,2016,"1,04",14469260
Безумцы,25.03.2010,2010,"1,673423",8974318
Миллион на Рождество,03.01.2008,2008,"2,018811",7412627
Блондинка с амбициями,10.01.2008,2008,"2,018811",7412285
Самый страшный фильм 3D,11.10.2012,2012,"1,434751",10418680
Бабка Ёжка и другие,21.02.2008,2008,"2,018811",7378918
Дж. Эдгар,23.02.2012,2012,"1,434751",10349000
Диана: История любви,05.12.2013,2013,"1,328473",11125461
Опасный квартал,20.10.2011,2011,"1,539488",9600230
Пятая власть,24.10.2013,2013,"1,328473",11110509
Крик в общаге,05.11.2009,2009,"1,80897",8148875
Новые приключения Бабки Ёжки,11.09.2008,2008,"2,018811",7289402
Любовь с препятствиями,16.08.2012,2012,"1,434751",10256738
Крейсер,23.09.2016,2016,"1,04",14147476
Цена страсти,26.05.2011,2011,"1,539488",9548935
V Центурия. В поисках зачарованных сокровищ,18.03.2010,2010,"1,673423",8769530
Большая ржака,02.08.2012,2012,"1,434751",10227463
Королевство полной луны,21.06.2012,2012,"1,434751",10205400
Двойная жизнь Чарли Сан-Клауда,26.08.2010,2010,"1,673423",8724448
Все только начинается,12.01.2018,2018,1,14558472
Грибы 3D,01.12.2011,2011,"1,539488",9424658
Свадебный разгром,03.05.2012,2012,"1,434751",10108530
Страшные сказки,10.09.2015,2015,"1,09096",13256172
Космический пират Харлок,15.05.2014,2014,"1,202238",11983245
Прости за любовь,27.11.2008,2008,"2,018811",7106418
Искупление,17.01.2008,2008,"2,018811",7103736
Рассказы,15.11.2012,2012,"1,434751",9955792
Эдди «Орел»,08.04.2016,2016,"1,04",13682356
Отель «Мэриголд». Заселение продолжается,12.03.2015,2015,"1,09096",13014338
Экстрасенс,16.02.2012,2012,"1,434751",9890486
Твое имя,08.09.2017,2017,1,14178202
Путевой обходчик,13.09.2007,2007,"2,339802",6058098
Старикам тут не место,31.01.2008,2008,"2,018811",7016080
Крошка из Беверли-Хиллз,09.04.2009,2009,"1,80897",7827360
Ч/Б,19.03.2015,2015,"1,09096",12867149
Лучшее предложение,01.08.2013,2013,"1,328473",10498856
Переполох в джунглях,01.10.2015,2015,"1,09096",12782131
Голограмма для короля,13.05.2016,2016,"1,04",13402357
Гнездо дракона,09.04.2015,2015,"1,09096",12769475
Морфий,27.11.2008,2008,"2,018811",6878326
Игра по-крупному,04.09.2008,2008,"2,018811",6875260
Пятое измерение,18.06.2009,2009,"1,80897",7638869
Василиса,04.12.2014,2014,"1,202238",11477558
Энни,19.03.2015,2015,"1,09096",12627932
Эксперимент «Офис»,07.07.2017,2017,1,13761876
Без тормозов,06.01.2017,2017,1,13746636
Потомки,26.01.2012,2012,"1,434751",9544147
Зажигание,25.07.2013,2013,"1,328473",10280188
Тарбозавр 3D,24.05.2012,2012,"1,434751",9514044
Выкуп,15.11.2007,2007,"2,339802",5832761
Разрисованная вуаль,15.02.2007,2007,"2,339802",5828119
Ангел,28.06.2007,2007,"2,339802",5815709
Сити-Айленд,23.07.2009,2009,"1,80897",7521860
Крампус,08.01.2016,2016,"1,04",13069186
Правосудие волков,21.10.2010,2010,"1,673423",8105391
Граница,21.02.2008,2008,"2,018811",6695805
Форсаж да Винчи,03.04.2008,2008,"2,018811",6690408
Ронал-варвар,01.12.2011,2011,"1,539488",8767943
Рейд 2,27.03.2014,2014,"1,202238",11222415
"Фред Клаус, брат Санты",20.12.2007,2007,"2,339802",5756689
Выживут только любовники,10.04.2014,2014,"1,202238",11176624
Армагеддец,17.10.2013,2013,"1,328473",10094701
Линкольн,24.01.2013,2013,"1,328473",10087982
